content,product_name
tetima kasih gan............,Baterai original SONY VAIO VGP-BPS21 VGP-BPS21A VGP-BPS21B VGP-BPS13
Barang sudah sampai packing rapi dan joystick bekerja dengan baik. Mantaplah!,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Pengiriman cepat sekali saya engga menyangka, udah sampe, makasih yaah pak. sukses selalu",TINTA / CATRIDGE HP 46 BLACK / COLOR ORIGINAL 100% - BLACK
"barang ssesuai pesanan, pengiriman cepat",Adaptor Charger Laptop Toshiba L630 L635 L640 L645 L650 L655 A200
"sorry baru kasih ulasan, 5 bintang deh buat agan",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Fast respon & fast Delivery....
Test working..
Thanks gan",CONVERTER MINI DP TO HDMI / MINI DISPLAY PORT TO HDMI
"saya suka seller sangat responsif, kalo utk barangnya saya ga bisa komplen, karna overall bagus dengan harga segitu",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Belum bisa make ya jarak wifi tetangga jarak 50 meter belum nyampe,Tenda Outdoor Cpe 03 5km outdoor point to point Cpe
Okkkkkkkkkkkkkkkkkkk,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
Banyak terima kasih kak.........,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Terima kasih, pengiriman cepat, barang sesuai deskripsi.",Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
Terima kasih atas respon cepatnya...unit sesuai,TP-LINK TL-WR 840N 300MBps Wireless Router
"barang sesuai ,, berfungsi dengan baik 
pertahankan pelayanannya",Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"packing bagus, pengiriman sangat cepat.",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"sip barang sdh diterima dan berjalan normal, kurirnya agak lelet biasanya 2 hari sampe, tp barangnya joss",TP-LINK TL-SF1008D : TPLink 8 Port 10/100Mbps Desktop Switch Hub
Barang pesanan sesuai.. walau awal awal di info chat katanya stok hanya ada warna hitam... ternyata di kiirm 1 set.. warna dan hitam.. kerenn..tks yah,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"puaasss...barang sesuai, recommend seller...",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
produk baik .dan bagus..,Alfalink EI 16 S - Kamus Elektronik
Fast response. barang sesuai description (backlight  berfungsi). recomended seller,Keyboard Lenovo Thinkpad T430 T430S T430I X230 X230T X230I T530 W530
Barang sesuai iklan..berfungsi normal,Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
Berfungsi dengan baik.. thx......,Adaptor Charger Laptop Toshiba Satellite L700 L735 L740 L745 OEM
"recomended seller, trima kasih smoga barang awet n jdi pelanggan tetap","[SONIC GEAR] NEW TITAN 5 BTMI Multimedia Speaker FM Radio, USB, Memory"
bagus ..........................................................,Baterai Original Sony Vaio VGP-BPS13A/B VGP-BPS13B VGP-BPS13A/R Series
Terima kasih.. fast response and top seller..,TP-LINK TL-SF1008D : TPLink 8 Port 10/100Mbps Desktop Switch Hub
"puas, harga murah, pelayanan sangat cepat...",TP-LINK TL-SF1008D : TPLink 8 Port 10/100Mbps Desktop Switch Hub
"barang sdh diterima,spt biasa brg bagus tks",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Sesuai pesanan ,dan cepat sampai... Trimakasih",Alfalink EI 215 - Kamus Elektronik Alfalink EI-215
"produk bagus, dan packing pengiriman bagus",Tenda AC6 Dual Band AC1200 Mbps GIGABIT Wifi ROUTER EXTENDER Repeater
"Fast delivery, fast respon, barang sesuai pesanan",Keyboard Laptop IBM Lenovo Thinkpad T400 T410 T400S T410S X220 series
"Barang sesuai, pengiriman jg cepat hanya dus nya sedikit penyok dan kurang bubble wrap. Tapi gpp yg penting ga rusak aja. Semoga bekerja dengan baik routernya. Makasih kak.",Tenda AC6 Dual Band AC1200 Mbps GIGABIT Wifi ROUTER EXTENDER Repeater
Biar bintang yang bicara,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Baik. Sudah dua kali beli disini. Terima kasih,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Barang oke bos , mantab, recomended",Keyboard Toshiba Satellite C600 C600D C605 C635 C640 C640D Hitam
"Terima kasih gan, kualitas ok, pengiriman cepat.",Keyboard Acer Aspire e1-421 e1-431 e1-431g e-451 e1-471 e1-471g Hitam
Cepet banget responnya! Pesen joystik utk main di kantor! Biarkan bintang yg berbicara,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Dgn harga minim performa cukup baik hanya material terlihat kurang sentuhan,DELUX M136 - Mouse Delux Wireless Optical
mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
Brg ok dan packaging rapi,Texas Instruments BA II Plus - Standard
"sudah d terima... ternyata itu USB 2.O . bukan 3.0... 
tp gpp lah ...  makasih gan",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
Cepat banget sampainya! Barang berfungsi dengan baik,"Adaptor Charger Laptop Acer Aspire E1-470, E5-471, E5-411G, E5-411"
Terimakash barang aman cepat sampai tujuan gan.....,Crimping Tool RJ45 RJ11 Tang Krimping Tools RJ 45
sesuai dengan permintaan dan pengiriman cepat,KIPAS PENDINGIN LAPTOP 1 BIG FAN / COOLING PAD 1 KIPAS BESAR M-TECH
"Mantap pokoknya, build quality mantap",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
Mantapppppp..........................,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
mantabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,Keyboard Toshiba Satelit L40B C40B C40d-B
thanks gan..pesanan sdh diterima...,Alfalink EI 21SE - Kamus Elektronik Electronic Dictionary EI-21SE
Warna random dan berfungsi.,Casing HDD External 2.5&#39; Samsung 2.0
Produk bagus reccomended,Adaptor Charger Laptop Acer Aspire 4739 4738 4741 4750 4736 4752 4740
"cepet banget sampainya..,barang sesuai deskripsi",Adaptor Charger Original Asus A456 A456U~19V 3.42A &#40;4.0mm*1.35mm&#41;
Bagus....fast respon...good job,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Pengiriman cepat. Reapon baik.,ORIGINAL BATERAI ASUS A455 A455L X455 X555 C21N1401
Siiiiiiiipppppppppp..........,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"barang sesuai deskripsi gan, makasih.",Baterai Original Asus X451 X451C X451CA X551 X551C X551CA &#40;A41N1308&#41;
"Tx om, udah sampe dan udah terpasang.",Kabel VGA Komputer Laptop 1.5m Standard
pengiriman cepat.......,Baterai Axio Original CNW RNW MNW Zyrex SKY LM C4500BAT-6 C4500
Lcd diterima dgn aman dan berfungsi baik.....,Layar LCD LED Laptop Lenovo G50-80 U530 Z50 Z50-70 B50-80 Series 15.6
"Mantap, barang bagus, sesuai pesanan, respon cepat",NYK Kabel LAN 10m Cat6 UTP 10 m Cable 10 meter
👌👍recommended seller. Thanks.,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"barang sudah diterima, saya pesen 2 barang yang saya terima cuma 1, tapi uang sudah dikembalikan sesuai dgn pesanan yang belum diterima. 

USB HUB Berfungsi dengan baik. belum ada kendala.  terima kasih Multi Komputer.",USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
"Barang cepat sampai, tapi sayang bgt. Pesen warna putih yg dateng warna hitam. So far, berjalan mulus...",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
Barang datang cepat dan sesuai dengan pesanan,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Mantap ni fast bgt, sukses terus bro, thankyou",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Fast respon..good service!! Tks ya ^_^,HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
"Sudah diterima dengan baik, terima kasih.",TINTA EPSON 774 BLACK / T7741 ORIGINAL 100%
Barang bagus. Pelayanan mantaap.,LCD LED 10.1&#34; Slim Acer Aspire One Happy Happy2 D255 D257 D260 D270
Bintang yg berbicara dan best seller,TP-LINK TL-SF1008D : TPLink 8 Port 10/100Mbps Desktop Switch Hub
"barang sip, bisa di pakai. trima kasih gan. lain waktu tolong barang langsung di kirim di hari yg sama ya","Keyboard Laptop ASUS X455, X455L, X455LA, X455LB, X455LC X455LD X455LF"
terima kasih gan........,Lan Tester Alat Penguji Kabel Lan RJ45 RJ11
"baran sesuai foto,, sampai tepat waktu",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
Sampai dengan aman berfungsi baik,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"barang sudah sampai, pengiriman sangat cepat, terimakasih.",Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
"ok, barang sudah sampai dan bisa dipakai..","Adaptor Charger HP ENVY 4, Pavilion Sleekbook 14 14-b000  19,5A 3,33A"
barang sesuai dan fast respon...bisa jadi langganan nih ya om :),TINTA EPSON 774 BLACK / T7741 ORIGINAL 100%
pengirimannya ok..............,CATRIDGE CANON PG 740 BLACK ORIGINAL 100%
"Barang Bagus, bintang yg berbicara",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Respon Seller sangat Baik, 10menit setelah terima order, barang langsung dikirim 😁

Kondisi barang juga bagus &amp; berfungsi dengan baik 😁

Tengkiu 😁",Kabel Printer LPT to USB / USB to Pararel Converter
Bener2 pnp... produk sesuai harga,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
thxxxxxxxxxxxxxxxxxxxxxxxx,USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
Packing aman..barang yahud 😁,"Keyboard Laptop ASUS X453, X453M, X453MA, X453S, X453SA"
"barang sesuai , respon bgus dan pengiriman cepat",Alfalink EI 428 - Kamus Elektronik Electronic Dictionary ei-428
Trims uda di terima dgn baik packing oke pengiriman cepat jg..,Adaptor Charger HP Mini 210-1000 210-2000 110-1014 110-3014 110-3500
Bagus Om .... berfungsi dengan baik ... sukses !,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Barang oke sudah dipasang, packing rapi dan aman",Keyboard Lenovo IdeaPad 320-14ISK 320-14IKB 320S-14IKB 320-14AST
Mantapppppppppppppppppppp,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
barang sudah di terima dengan baik packing rapi fast respon recomded seller,Alfalink EI 212 - Kamus Elektronik
barang cepat sampai dan berjalan sesuai diskripsi,BATERAI LENOVO ORIGINAL G470 G460 Z460 Z470 Z465 B470 B570 G560 G570
Thanks gan barangnya,FLASHDISK KINGSTON 16GB DATATRAVELER 100 G3 USB 3.0 ORIGINAL 100%
"Mantap gan barangnya, tinggal di pasang aja",TP-LINK TL-WR 840N 300MBps Wireless Router
"Good! Barang sesuai, Recommended!",mouse gaming wireless rexus avenger RX-110 - Hitam
"brg udh dtg #pontianak dgn slmat gan, mksih..",Alfalink EI 212 - Kamus Elektronik
pengirimN  Barang vpttt,Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"barangnya ori, cepat sampai, fast respon juga  makasih",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Mantapppp.............................,Kabel Aux Audio Stereo Jack 3.5mm to 3.5mm
Ok gannnnnn mantapppp gannnnnnnnnnn,USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
"Brg sesuai diskripsi, blm di test...packing rapi n responsif.",Tenda Outdoor Cpe 03 5km outdoor point to point Cpe
"Fast respon, bagus &amp; cepat..",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"responnya sangat cepat, recommended",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
barang diterima dalam kondisi bagus thanks,Lemari RAK KOMPONEN Elektronik Grosir dan Ecer &#40;Sinar Indah Produk&#41;
"Barang sudah sampai, fast respon, keren deh pokoknya!...",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Barang ok dan berfungsi baik,4.0 Bluetooth CSR 4.0 Dongle&#40;usb kecil&#41;
Respon dan pengiriman cepat..mantap..berfungsi dgn baik,KIPAS PENDINGIN LAPTOP 1 BIG FAN / COOLING PAD 1 KIPAS BESAR M-TECH
Sudah bagus tapi di chat tidak membalas,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Good response, good product. thank you.",Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
"Barang bagus, harga murah, packing rapi. Recommended seller.",TINTA EPSON 673 BK / C / M / Y / LC / LM ORIGINAL 100%
"Barang oke, packing aman",Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
Barang sudah diterima dengan baik dan benar,Baterai C-mos CR 2032 Lithium cell
"Pengiriman cepat, respon cepat, barang sesuai",CATRIDGE CANON CL 57 COLOR ORIGINAL 100%
recomended seller.. semoga awet,Baterai Original HP HS04 250 240 G4 HS04 HSTNN-LB6U
"barang sesuai pesanan, thanks gan....",LAYAR LCD LED 14.0 slim Laptop Asus X450J X450JF X450CA X450C X450CC
paket sudah di terima gan...,"Keyboard Acer Aspire Keyboard Acer E5-473, E5-473G, E5-473T, E5-473TG"
gak sampe 2 jam barang sudah diterima. makasih seller,Kabel Printer LPT to USB / USB to Pararel Converter
Mantap........................,CONVERTER MINI DP TO HDMI / MINI DISPLAY PORT TO HDMI
Tinta sesuai gambar dan pesanan. Response cepat.,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"cepat sampai, pankingannya mantap",Konektor RJ45 AMP / Connector RJ 45 AMP Per Pack Isi 50pcs
mantappppppppppppppppp,TINTA / CATRIDGE BROTHER LC583 BK / C / M / Y ORIGINAL 100% - Merah
"Pengiriman cepat, packing rapi dan ok. Mantab",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
Produk sesuai dengan spek.,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"respon cepat, packing super aman. sip pokoknya",THERMAL PASTA SUNTIK BESAR SILVER PENDINGIN PROCESSOR / THERMAL GREASE
Respond seller kilat .. Barang mantap,Tenda AC6 Dual Band AC1200 Mbps GIGABIT Wifi ROUTER EXTENDER Repeater
Barang sesuai pesanan. Recommended Seller !!!,Adaptor Charger HP Mini 210-1000 210-2000 110-1014 110-3014 110-3500
bgs               uuhuuuuuuuuuuuuuuuuuuuuuuuuuuuu,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
Produknya bagus sekali dan berfungsi sesuai ekspektasi,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
Toooooooooooooooooooooooooop,TENDA U1 USB Wireless Adapter FAST 300mbps Wifi Dongle/ Receiver N300
"Barang sudah sampai, Ok, sesuai deskripsi, recommended seller",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"brng sdh sampai dengan selamat bos, terimakasih",keyboard axioo pico cjm w217cu pjm M1110 frame hitam
ok gannnn manntappp gannnn,Konektor RJ45 AMP / Connector RJ 45 AMP Per Pack Isi 50pcs
pengiriman cepat sampai,KABEL LAN 25M CAT 5 / KABEL UTP 25 METER PABRIKAN HIGH QUALITY
Barang sudah saya check dan berjalan sesuai fungsinya. Terimakasih banyak atas suportnya,Tenda AC6 Dual Band AC1200 Mbps GIGABIT Wifi ROUTER EXTENDER Repeater
"Mantap, bassnya yahut, aman udah di tes","[SONIC GEAR] Speaker Titan 7 BTMI Bluetooth,FM Radio,USB &amp; Line In PRO"
"Produk sampai!! Sepertinya bagus. Cocok buat gl552jx.
Semoga awet sampai 20 tahun. Terima kasih mas/mba..",Adaptor Charger Laptop Asus ROG G55 G55VW G46VW G70 G75 G75V 19V~6.32V
